first_name,last_name,image_link,spotify_link,yt_link,info,id,more_link
Giannis,Kotsiras,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kotsiras.jpg
","https://open.spotify.com/artist/6waWR57xXsgtWztHX1v8TB
","https://www.youtube.com/@YannisKotsiras
",,singer,
Alina,Kotsovoulou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kotsovoulou.jpg,,,,actor,
Eirini,Koumarianou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/koumarianou.jpg,,,,actor,
Nikos,Kourkoulos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kourkoulos.jpg,,,,actor,
Stamatis,Kraounakis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kraounakis.jpg
","http://open.spotify.com/artist/4i1Ok9sZW1HyK0hQJJRKaK
","https://www.youtube.com/channel/UC-AFq8CJy5Qdu4f8ieHgjiw
",,singer,
Eleni,Krita,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/krita.jpg,,,,actor,
Elli,Lampeti,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/lampeti.jpg,,,,actor,
Aggeliki,Lampri,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/lampri.jpg,,,,actor,
Vaso,Laskariaki,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/laskaraki.jpg,,,,actor,
Katerina,Lechou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/lechou.jpg,,,,actor,
Vasilis,Logothetidis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/logothetidis.jpg,,,,actor,
Manos,Loizos,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/loizos.jpg
","https://open.spotify.com/artist/3xFDHACooUWcJ6FP4tsCp4
","https://www.youtube.com/channel/UCwr_l9Tepil-14MbbNg8sWA
",,singer,
Antonis,Loudaros,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/loudaros.jpg,,,,actor,
Renia,Louizidou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/louizidou.jpg,,,,actor,
Lavrentis,Machairitsas,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/machairitsas.jpg
","https://open.spotify.com/artist/5z7uDSNrMNmtg7eikmaaau
","https://www.youtube.com/channel/UC-FqzNrTku79p-WKcljx1Rw
",,singer,
Orestis,Makris,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/makris.jpg,,,,actor,
Hro,Mane,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/mane.jpg,,,,actor,
Kostis,Maraveyas,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/maraveyas.jpg
","https://open.spotify.com/artist/5PBgnkHTjFwVM3eAhmh2EU
","https://www.youtube.com/@maraveyas
",,singer,
Marinella,,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/marinella.jpg
","https://open.spotify.com/artist/4u5yrM5jlC3iviSQQXcMCK?autoplay=true
","https://www.youtube.com/channel/UCy7NM5w7EHysVGnfMYH2YYA
",,singer,
Giorgos,Mazonakis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/mazonakis.jpg
","https://open.spotify.com/artist/1gyBRbQACz4JJX2HRROigK
","https://www.youtube.com/@GiorgosMazonakisOfficial
",,singer,
